ID,Category,Name,Shortname,Variable_type,Category_esp,Description,Description_esp,Comments
1,Pronominal system,1P pronoun distinctions,Pron1P,numeric,SISTEMA PRONOMINAL,Number of formal distinctions (lexical/morphological) for the first person (gender; number; inclusive/exclusive; etc),Número de distinciones formales (léxicas/morfológicas) en la primera persona (género; número; inclusivo-exclusivo; etc.),contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
2,Pronominal system,2P pronoun distinctions,Pron2P,numeric,SISTEMA PRONOMINAL,Number of formal distinctions (lexical/morphological) for the second person (gender; number; inclusive/exclusive; etc),Número de distinciones formales (léxicas/morfológicas) en la segunda persona (género; número; politeness; etc.),contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
3,Pronominal system,3P pronoun distinctions,Pron3P,numeric,SISTEMA PRONOMINAL,Number of formal distinctions (lexical/morphological) for the third person (gender; number; inclusive/exclusive; etc),Número de distinciones formales (léxicas/morfológicas) en la tercera persona (género; número; obviativo-proximativo; etc.),contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
4,Nominal categories,Cases,Cases,numeric,CATEGORÍAS NOMINALES,Total number of grammatical cases,Número total de casos gramaticales,Si la lengua tiene una categoría de caso: consignar el número total de casos nominales listados en la gramatica como un número natural. Comprende casos nucleares y oblicuos; si la ausencia de caso tiene una interpretación (caso no marcado) se cuenta. Si la lengua no tiene caso nominal: indicar 0 y dejar en blanco la columna de certeza
5,Nominal categories,Spatial demonstratives,Dem,numeric,CATEGORÍAS NOMINALES,Total number of spatial demonstratives,Número total de demostrativos espaciales,Si la lengua tiene demostrativos espaciales; deicticos: consignar el número total de demostrativos espaciales listados en la gramatica como un número natural. Si la lengua no tiene demostrativos espaciales: indicar 0 y dejar en blanco la columna de certeza
6,Nominal categories,Numeral classifiers,ClassNum,binary,CATEGORÍAS NOMINALES,Is there evidence for numeral classifiers?,Existe evidencia de clasificadores numerales,Sí = 1 ; No = 0
7,Nominal categories,Genitive classifiers,ClassGen,binary,CATEGORÍAS NOMINALES,Is there evidence for genitive classifiers?,Existe evidencia de clasificadores genitivos,Sí = 1 ; No = 0
8,Nominal categories,Grammatical gender,ClassNoun,binary,CATEGORÍAS NOMINALES,Is there evidence for nominal classes/gender?,Existe evidencia de clases nominales / géneros,Sí = 1 ; No = 0
9,Nominal categories,Instrumental vs comitative,InstrCom,binary,CATEGORÍAS NOMINALES,The language distinguishes morphologically the instrumental from commitative,La lengua distingue morfológicamente instrumental de comitativo,Sí = 1 ; No = 0
10,Nominal categories,Alienable and inalienable,Poss,binary,CATEGORÍAS NOMINALES,The language distinguishes morphologically alienable possession from inalienable possession,La lengua distingue morfológicamente posesion alienable de posesion inalienable,Sí = 1 ; No = 0
11,Nominal categories,Locative vs directional,LocDir,binary,CATEGORÍAS NOMINALES,The language distinguishes morphologically locative from directional,La lengua distingue morfológicamente locativo (en) de direccional (a/hacia),Sí = 1 ; No = 0
12,Nominal categories,Temporal locative vs spatial locative,TempLoc,binary,CATEGORÍAS NOMINALES,The language distinguishes morphologically spatial locative from temporal locative,La lengua distingue morfológicamente locativo espacial de locativo temporal,Sí = 1 ; No = 0
13,Nominal categories,Ditransitive argument marking,DitransMarking,binary,CATEGORÍAS NOMINALES,The language distinguishes morphologically both objects of a ditransitive construction,La lengua distingue morfológicamente los dos objetos de una construccion ditransitiva,Sí = 1 ; No = 0
14,Grammatical relations,Core arguments via case,CA_case,binary,RELACIONES GRAMATICALES,The language marks the functions of the nominal phrase (S; A; P) with case,La lengua marca las funciones gramaticales de las FN (S; A; P) mediante caso,Sí = 1 ; No = 0
15,Grammatical relations,Core arguments via head marking,CA_head,binary,RELACIONES GRAMATICALES,The language marks the functions of the nominal phrase (S; A; P) with verbal marking,La lengua marca las funciones gramaticales de las FN (S; A; P) mediante marcas en el verbo,Sí = 1 ; No = 0
16,Grammatical relations,Core arguments via word order,CA_wordorder,binary,RELACIONES GRAMATICALES,The language marks the functions of the nominal phrase (S; A; P) with word order,La lengua marca las funciones gramaticales de las FN (S; A; P) mediante orden de palabras,Sí = 1 ; No = 0
17,Grammatical relations,Pronominal alignment,PronAlign,binary,RELACIONES GRAMATICALES,The pronominal system has alignment type..,Los pronombres muestran un alineamiento de tipo…,Si la lengua tiene caso: consignar el alineamiento de caso de los pronombres. Jerárquico: marcación de objeto y sujeto basados en la jerarquía de persona 1 > 2 > 3. Si la lengua no tiene caso nominal: indicar 0 y dejar en blanco la columna de certeza.
18,Grammatical relations,Nominal alignment,NomAlign,multi-state,RELACIONES GRAMATICALES,Nouns have alignment type...,Los nombres muestran un alineamiento de tipo…,Si la lengua tiene caso: consignar el alineamiento de caso de los nombres. Jerárquico: marcación de objeto y sujeto basados en la jerarquía de persona 1 > 2 > 3. Si la lengua no tiene caso nominal: indicar 0 y dejar en blanco la columna de certeza.
19,Verbal categories,Tense and aspect markers,TA_marks,numeric,CATEGORÍAS VERBALES,Number of Tense and Aspect morphemes,Número de marcas morfológicas de tiempo y aspecto,Consignar el número total de marcadores de tiempo y aspecto en la lengua y consignar un número natural. Si la lengua no tiene estos marcadores: entonces consignar 0 y dejar en blanco la columna de certeza
20,Verbal categories,Evidential markers,Evid,numeric,CATEGORÍAS VERBALES,Number of morphological evidential markers,Número de marcas morfológicas de evidencialidad,Consignar el número total de marcadores de evidencialidad en la lengua y consignar un número natural. Si la lengua no tiene estos marcadores: entonces consignar 0 y dejar en blanco la columna de certeza
21,Verbal categories,Interrogatives,Questions,multi-state,CATEGORÍAS VERBALES,The interrogative is distinguished from the declarative by,El interrogativo se distingue del declarativo mediante,Indicar si existe una distinción formal entre oraciones indicativas/declarativas e interrogativas a partir de elementos morfológicos; prosódicos o ambos
22,Verbal categories,Causative,MorphCaus,binary,CATEGORÍAS VERBALES,Morphological causatives exist,Existen causativos morfológicos,Sí = 1 ; No = 0
23,Phonology,Tones,Tones,numeric,FONOLOGÍA,Number of tones in the language,número de tonemas en la lengua (si la lengua tiene un rasgo de tono),Consignar el número total de tonemas en la lengua con un número natural. Si la lengua no tiene tono: consignar 0 y dejar la columna de certeza en blanco
24,Phonology,Consonants,Consonants,numeric,FONOLOGÍA,Number of consonants,número total de consonantes,Consignar el número total de consonantes en la lengua con un número natural.
25,Phonology,Vowels,Vowels,numeric,FONOLOGÍA,Number of vowels,número total de vocales,Consignar el número total de vocales en la lengua con un número natural.
26,Phonology,Nasal vowels,NasVowels,numeric,FONOLOGÍA,Number of nasal vowels,número de vocales nasales,Consignar el número total de vocales nasales en la lengua con un número natural. Si la lengua no tiene vocales nasales: consignar 0 y dejar la columna de certeza en blanco
27,Word order,Adj-N order,AdjN,multi-state,ORDEN DE PALABRAS,Relative order of adjective and noun in nominal phrase,orden relativo entre el adjetivo y el nombre en la frase nominal,Indicar el orden relativo del nombre y el adjetivo dentro de una frase nominal; seleccionando una de las opciones en la lista despegable
28,Word order,Gen-N order,GenN,multi-state,ORDEN DE PALABRAS,Relative order of genitive modification and noun in nominal phrase,orden relativo entre el modificador genitivo y el nombre en la frase nominal,Indicar el orden relativo del nombre y el modificador genitivo dentro de una frase nominal; seleccionando una de las opciones de la lista desplegable
29,Word order,Basic word order,BasicWO,multi-state,ORDEN DE PALABRAS,Basic word order,orden básico de palabras en la lengua,Indicar el tipo de orden básico de constituyentes en oraciones declarativas a partir de la lista de opciones ofrecidas. no hay orden básico puede registrarse para los casos en los que se indica orden flexible o prágmáticamente orientado
30,Verbal categories,Agreement between verb and arguments,VP_Agr,binary,CATEGORÍAS VERBALES,Is there evidence of agreement between the verb and on of its arguments?,existe evidencia de concordancia entre el verbo y alguno de sus argumentos,Sí = 1 ; No = 0
31,Nominal categories,Agreement between noun and adjectives,NP_Agr,binary,CATEGORÍAS NOMINALES,Is there evidence of agreement between noun and its modifying adjective?,existe evidencia de concordancia entre el nombre y su adjetivo,Sí = 1 ; No = 0
